site_id,site_name,period,month_start_date,calendar_year,calendar_month,calendar_quarter,month_label,throughput_tonnes_actual,copper_production_tonnes_actual,copper_price_usd_per_lb_actual,unit_cost_usd_per_tonne_actual,revenue_proxy_usd_actual,ebitda_proxy_usd_actual,operating_cash_flow_proxy_usd_actual,free_cash_flow_proxy_usd_actual,critical_alert_count,warning_alert_count,overall_alert_level,primary_alert_metric,primary_alert_message,throughput_tonnes_variance_pct,copper_production_tonnes_variance_pct,unit_cost_usd_per_tonne_variance_pct,revenue_proxy_usd_variance_pct,ebitda_proxy_usd_variance_pct,downtime_hours_actual,stockpile_feed_pct_actual,site_production_gap_share_pct,top_cost_center,data_classification,sample_data_flag
demo_north_concentrator,Demo North Concentrator,2025-11,2025-11-01,2025,11,4,Nov 2025,263730,1787,4.11,17.44018503772798,14709077.513812028,10109577.513812028,9785577.513812028,7881577.513812028,1,2,critical,Head Grade,Head Grade is 3.1% below plan.,0.005988709185230394,-0.02844242150728163,0.005197984883456895,-0.02869216920790226,-0.04582552144190217,51,48.0,0.38294305775799775,Mine Operations,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-12,2025-12-01,2025,12,4,Dec 2025,264910,1764,4.04,17.800762523121058,14256789.813293355,9541189.813293355,9055189.813293355,7095189.813293355,1,6,critical,Copper Production,Copper Production is 3.2% below plan.,0.0038272072754831376,-0.03189900463082693,0.020101004190318565,-0.03975183484800213,-0.06841873596070766,55,48.0,0.3993452642576132,Mine Operations,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,163180,912,3.851,19.604424561833557,6943458.781023474,3744408.7810234744,3146408.7810234744,1650408.7810234744,5,3,critical,Copper Production,Copper Production is 10.4% below plan.,-0.05238095238095238,-0.10423632648993986,0.030672654530968745,-0.1265323346651846,-0.1988661121731232,83,0.0,0.5160834167612831,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-02,2025-02-01,2025,2,1,Feb 2025,164410,968,3.921,18.94471139225108,7534316.23446818,4419616.23446818,3959616.2344681798,2595616.2344681798,6,2,critical,Copper Production,Copper Production is 6.7% below plan.,-0.033450911228689005,-0.06717745391175786,0.0065730509670622154,-0.08505051478637184,-0.12191215756315957,79,0.0,0.6186152502052168,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-03,2025-03-01,2025,3,1,Mar 2025,163200,949,3.99,18.886029411764707,7523047.881078544,4440847.881078544,4118847.881078544,2798847.881078544,5,3,critical,Copper Production,Copper Production is 7.3% below plan.,-0.040846312077578606,-0.07309993580318083,0.012764339970222374,-0.09110156350210871,-0.12995313400131536,80,0.0,0.5863041805318336,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-04,2025-04-01,2025,4,2,Apr 2025,166800,1015,4.07,18.78207434052758,8242449.950165777,5109599.950165777,4879599.950165777,3471599.9501657765,4,3,critical,Copper Production,Copper Production is 5.1% below plan.,-0.0313588850174216,-0.051398297735527544,0.012619923470324614,-0.06437538645246546,-0.09010675486465959,76,0.0,0.740206656545536,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-05,2025-05-01,2025,5,2,May 2025,164190,1018,4.189,18.642121931908154,8521443.045265833,5460593.045265833,5276593.045265833,3824593.045265833,2,5,critical,Copper Production,Copper Production is 5.8% below plan.,-0.04094626168224299,-0.05815969363137582,0.009045842051862098,-0.05705032150460762,-0.07039292267183601,73,49.0,0.6542821101012909,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-06,2025-06-01,2025,6,2,Jun 2025,167310,1055,4.259,18.537744306975075,8988020.50220171,5886470.50220171,5748470.50220171,4208470.50220171,2,5,critical,Copper Production,Copper Production is 6.1% below plan.,-0.03177083333333333,-0.06140526936868073,0.008856833032657127,-0.05324495741433096,-0.06834607081034424,74,49.0,0.6536159638782387,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-07,2025-07-01,2025,7,3,Jul 2025,169260,1085,4.289,18.7055417700579,9335786.561847042,6169686.561847042,6077686.561847042,4493686.561847042,2,6,critical,Copper Production,Copper Production is 6.3% below plan.,-0.033904109589041095,-0.06283568405238636,0.023559057185110806,-0.05242115667288586,-0.07229357924418922,75,51.0,0.6357824415805986,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-08,2025-08-01,2025,8,3,Aug 2025,170040,1122,4.319,18.47741707833451,9725644.357912038,6583744.3579120375,6491744.3579120375,5039744.3579120375,1,4,critical,Copper Production,Copper Production is 4.9% below plan.,-0.03386363636363637,-0.049131913370324014,0.01663917900052328,-0.03865520260482605,-0.04830411157382117,71,51.0,0.7855184000867185,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-09,2025-09-01,2025,9,3,Sep 2025,172000,1080,4.15,18.81017441860465,8953818.46921776,5718468.4692177605,5534468.4692177605,4038468.4692177605,6,4,critical,Copper Production,Copper Production is 10.4% below plan.,-0.055152713689299054,-0.10448788504142759,0.030807453891092088,-0.12537572518280976,-0.1730898572450525,81,51.0,0.5130577821456647,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-10,2025-10-01,2025,10,4,Oct 2025,176400,1128,4.23,18.527210884353742,9543449.604327349,6275249.604327349,6045249.604327349,4681249.604327349,2,5,critical,Copper Production,Copper Production is 5.8% below plan.,-0.039634146341463415,-0.05833731357721858,0.009767325286338753,-0.05194621118878784,-0.06286381466279947,75,51.0,0.685417744369621,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-11,2025-11-01,2025,11,4,Nov 2025,183270,1136,4.061,18.500027282152015,9179771.310179472,5789271.310179472,5513271.310179472,4017271.310179472,6,3,critical,Copper Production,Copper Production is 6.9% below plan.,-0.03460809102402023,-0.06907930694292184,0.004290064717008604,-0.08632092884553537,-0.11614159610896962,77,51.0,0.6170569422420022,Site Services & G&A,sample_demo_monthly_monitoring,True
demo_south_concentrator,Demo South Concentrator,2025-12,2025-12-01,2025,12,4,Dec 2025,184090,1120,3.991,18.873377152479765,8883934.720511805,5409534.720511805,4995534.720511805,3455534.7205118053,6,3,critical,Copper Production,Copper Production is 7.2% below plan.,-0.03668236525379383,-0.07240549969452774,0.019025816774459508,-0.09700539769982056,-0.14119921745066819,81,51.0,0.6006547357423868,Site Services & G&A,sample_demo_monthly_monitoring,True
